algorithm,entries,time
bubble,10,2.0742416381835938e-05
merge,10,2.3126602172851562e-05
quick,10,6.079673767089844e-05
bubble,100,0.0008151531219482422
merge,100,0.00024080276489257812
quick,100,0.0008251667022705078
bubble,1000,0.06711506843566895
merge,1000,0.0028531551361083984
quick,1000,0.07362580299377441
bubble,10000,8.45355486869812
merge,10000,0.031830549240112305
quick,10000,7.18709135055542
